Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
148,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.068,7.936000000000001,0,0,0,0,0
149,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.055,7.9910000000000005,0,0,0,0,0
150,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
151,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.026,0.027,0,0,0,0,0
152,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.027,0.054,0,0,0,0,0
153,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.088,0.142,0,0,0,0,0
154,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.054,0.19599999999999998,0,0,0,0,0
155,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.123,0.31899999999999995,0,0,0,0,0
156,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.116,0.43499999999999994,0,0,0,0,0
157,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.236,0.6709999999999999,0,0,0,0,0
158,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.217,0.8879999999999999,0,0,0,0,0
159,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.385,1.273,0,0,0,0,0
160,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.322,1.595,0,0,0,0,0
161,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.597,2.192,0,0,0,0,0
162,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.527,2.7190000000000003,0,0,0,0,0
163,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.96,3.6790000000000003,0,0,0,0,0
164,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.957,4.636,0,0,0,0,0
165,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.54,5.176,0,0,0,0,0
166,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.585,5.761,0,0,0,0,0
167,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.354,6.115,0,0,0,0,0
168,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.339,6.454000000000001,0,0,0,0,0
169,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.235,6.689000000000001,0,0,0,0,0
170,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.222,6.911000000000001,0,0,0,0,0
171,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.169,7.080000000000001,0,0,0,0,0
172,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.247,7.327000000000001,0,0,0,0,0
173,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.148,7.4750000000000005,0,0,0,0,0
174,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.144,7.619000000000001,0,0,0,0,0
175,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.096,7.715000000000001,0,0,0,0,0
176,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.104,7.819000000000001,0,0,0,0,0
177,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.07,7.889000000000001,0,0,0,0,0
178,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.066,7.955000000000001,0,0,0,0,0
179,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.049,8.004000000000001,0,0,0,0,0
180,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
181,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.024,0.024,0,0,0,0,0
182,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.023,0.047,0,0,0,0,0
