Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
9,S-BP,IsingModel3X4,0.7599486521181001,0.8347826086956521,0.07483395657755199,16,false,0.305,1.1239999999999999,3,4,0,0,0
10,S-BP,IsingModel3X4,0.7716727716727717,0.8193986420950533,0.0477258704222816,8,false,0.533,1.657,3,4,0,0,0
11,S-BP,IsingModel3X4,0.7716727716727717,0.8193986420950533,0.0477258704222816,8,false,0.545,2.202,3,4,0,0,0
12,S-BP,IsingModel3X4,0.7814569536423841,0.8119892959827761,0.030532342340392038,16,false,1.505,3.707,3,4,0,0,0
13,S-BP,IsingModel3X4,0.7814569536423841,0.8119892959827761,0.030532342340392038,8,false,0.937,4.644,3,4,0,0,0
14,S-BP,IsingModel3X4,0.7890766954590229,0.8095534268285695,0.02047673136954653,4,false,1.164,5.808,3,4,0,0,0
15,S-BP,IsingModel3X4,0.790054252190959,0.7973325985107,0.0072783463197410025,4,false,2.104,7.912,3,4,0,0,0
16,S-BP,IsingModel3X4,0.7945201970543466,0.7945201970543466,0.0,1,false,1.191,9.103,3,4,0,0,0
17,SGDPLL,IsingModel3X4,0.7945201970543466,0.7945201970543466,0.0,0,true,2.648,2.648,3,4,0,0,0
0,S-BP,IsingModel4X4,0.0,1.0,1.0,2,false,0.0,0.0,4,4,0,0,0
1,S-BP,IsingModel4X4,0.0,1.0,1.0,3,false,0.008,0.008,4,4,0,0,0
2,S-BP,IsingModel4X4,0.0,1.0,1.0,3,false,0.008,0.016,4,4,0,0,0
3,S-BP,IsingModel4X4,1.0,1.0,0.0,4,false,0.023,0.039,4,4,0,0,0
4,S-BP,IsingModel4X4,1.0,1.0,0.0,4,false,0.045,0.08399999999999999,4,4,0,0,0
5,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,0.087,0.17099999999999999,4,4,0,0,0
6,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,0.079,0.25,4,4,0,0,0
7,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.128,0.378,4,4,0,0,0
8,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.125,0.503,4,4,0,0,0
9,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.211,0.714,4,4,0,0,0
10,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.224,0.938,4,4,0,0,0
11,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.438,1.376,4,4,0,0,0
